MONSTER IDENTITY,,,,PRIMARY ATTACK,PRIMARY RATIONALE,SECONDARY ATTACK,SECONDARY RATIONALE,PASSIVE / MECHANIC,PASSIVE RATIONALE,COMBAT FANTASY,WHAT THE PLAYER DOES
Shadow Stalker,Shadow,TIER_1,Assassin,"shadow_step (25 dmg, teleport to shadows, 200ms telegraph)",200ms is near-instant. The player barely sees it coming. This is the fastest attack in your ability list and it matches the Stalker fantasy perfectly. The teleport means it's never where you expect it.,"teleport_strike (40 dmg, teleport behind player, 500ms telegraph)","The big hit. Appears behind you, 500ms to react, 40 damage. At TIER_1 scaling (0.8x) that's 32 damage — nearly a third of the player's HP from a single hit. The 500ms telegraph is the skill check: can you dodge-roll the moment you see it appear behind you?","ambusher (+50% first strike) + ethereal (2s immune, 5s vulnerable)","First strike does +50%, making the opening teleport_strike hit 48 damage. Then the Stalker phases between ethereal (can't be hit for 2s) and vulnerable (5s window to damage it). The fight has a binary rhythm: it's hittable or it's not. The group has to burst during vulnerable windows.","Invisible until it strikes. Opens with a devastating teleport behind the most isolated player. Then cycles between shadow steps (fast, repositioning) and teleport strikes (slow, heavy). Phases in and out of ethereal immunity. The most dangerous non-elite enemy in the game.","Stay in formation so it can't isolate anyone. When it appears, IMMEDIATELY dodge — don't try to read the attack, just dodge. During its 5s vulnerable window, the whole group focuses it. During the 2s ethereal phase, reposition and heal. Ping skill reveals its position during stealth."
Mushroom Sprite,Cave,TIER_2,Support Caster,"poison_cloud (cone 90° r4, 8 dmg, poison 3/tick for 4s)","Area denial. The Sprite creates zones of poison that players have to avoid or eat sustained damage. 700ms telegraph gives time to move out of the cone. The poison ticks after you leave the cloud, so even brief exposure hurts.","heal_pulse (heal self or ally 10% max HP, 15s CD)","THIS is what makes the Mushroom Sprite a true support enemy. Every 15 seconds, it heals the tankiest enemy in the room for 10% of that enemy's max HP. A Sprite behind a Stone Guardian is healing 15 HP every 15 seconds — roughly offsetting one player's DPS. The Sprite must die first.",regeneration (2% HP/sec after 3s no damage),"If the group splits attention and nobody is actively hitting the Sprite, it heals itself. Combined with its defensive kiting behavior, a Sprite that successfully maintains distance is nearly impossible to wear down with chip damage. Requires focused burst.",Hangs back behind other enemies. Fires poison clouds to deny space. Heals allies every 15 seconds. Retreats when approached. Never engages directly. The most annoying enemy in the game by design.,"KILL THIS FIRST. One player peels off the main fight to chase the Sprite while others hold the frontline. Close distance fast — it has low HP. Don't let it sit behind a Shielder healing it indefinitely. Ranged attacks are ideal. If you can't reach it, at least keep hitting it to prevent its self-regen."
Phantom,Undead,TIER_1,Ranged Caster,"life_drain (18 dmg, heals 50% of damage dealt, 600ms telegraph)","The Phantom's identity: it hurts you AND heals itself. 18 damage at TIER_1 (0.8x) = ~14 damage, healing the Phantom for 7. Over a sustained fight, the Phantom is nearly unkillable by a solo player because it's recovering health with every hit. Forces focused group damage.","homing_orb (25 dmg, slow homing, 800ms telegraph)","Fires a slow tracking orb that someone has to kite or tank. While a player is kiting the orb, they're not DPSing the Phantom, which is healing itself. The orb is a distraction tool that buys the Phantom time to sustain.",ethereal (2s immune / 5s vulnerable),"Periodically untargetable. During immune phases, the homing orb is still tracking. The group has to dodge the orb, wait out the immunity, then burst during the 5s vulnerable window — all while the Phantom is life-draining someone during vulnerable phases.","A nightmare of sustain and evasion. Kites at range, drains life to self-heal, fires homing orbs for persistent pressure, and phases in and out of immunity. This is the enemy that teaches the group that DPS checks are real — if you can't out-damage the healing, you can't win.",Coordinate burst during 5s vulnerable windows. One player kites the homing orb away from the group. Everyone else focuses the Phantom during its vulnerable phase. Don't waste attacks during ethereal immunity. Ranged attacks help maintain pressure between vulnerability windows.
Tide Serpent,Aquatic,TIER_1,Assassin,"lunge (18 dmg, dash distance 2, 400ms telegraph)","Fast, short-range dash. The Serpent darts in, hits, and repositions. 400ms is tight — experienced players dodge it, new players get hit. The dash component means the Serpent is never standing still, making it hard to pin down.","tail_whip (14 dmg, 180° arc, knockback force 2)","After lunging in, the Serpent whips its tail to knock nearby players away. The combo is: lunge in ? tail whip ? lunge out. The knockback disrupts group formation and can push players into hazards or other enemies.",berserk (below 30% HP: +50% damage),A wounded Serpent is faster and hits harder. The lunge that did 14 damage (TIER_1 scaled) now does 21. The tail whip knockback becomes more dangerous because the follow-up lunge is deadlier. The group should focus-fire to skip the berserk phase entirely.,"Darts in with a lunge, whips its tail to scatter the group, then retreats to lunge range. Fast, fluid, disruptive. Never stays in one place. The fight feels like fighting water — it flows around you.","Don't chase it — let it come to you and punish the lunge recovery. When it lunges in, sidestep and attack during the tail whip animation (it's committed). Focus fire when it's below 50% to kill before berserk triggers. Watch for the knockback pushing you into worse positions."
Stone Lurker,Cave,TIER_2,Tank (Ambush),"ground_slam (30 dmg, circle r3, 1s telegraph)","The ambush opener. The Lurker is disguised as terrain, player walks past, it erupts with a ground slam. The first hit is boosted by ambusher passive. 30 × 0.6 tier × 1.5 ambush = 27 damage. A quarter of the player's HP before they even know it's there.","charge (35 dmg, line w2, 800ms telegraph, stun 1s)","After the ambush, the Lurker charges players who try to run. It's slow normally (40% move speed), but the charge closes distance fast. Stun on hit means the group has to dodge it or the stunned player eats follow-up damage from other enemies.",ambusher (+50% first strike) + armored (+10 armor),"The ambush hit is devastating. After reveal, the Lurker is heavily armored and slow — a classic tank that requires sustained damage to bring down. The combination makes it a genuine trap: walk past it carelessly, eat a huge hit, then spend 10+ seconds killing a tank.","Hidden until triggered. Erupts with a ground slam ambush. Then becomes a slow, armored charger. The fight has two distinct phases: the panic of the ambush, then the grind of killing a tank.","Watch for terrain that looks slightly different — the Lurker is disguised. Ping skill reveals it before triggering. If ambushed, dodge the ground slam AoE and then kite the slow Lurker. It's dangerous but can't keep up with player movement. Use the kiting time to heal from the ambush damage."
Obsidian Golem,Volcanic,ELITE,Tank (Slow),"ground_slam (30 dmg, r3, screen shake)","The bread and butter. At Elite scaling (1.0x), this hits for full 30 damage with a 3-tile radius. The screen shake makes it feel like a boss attack on a regular enemy. Every slam is a 'dodge or lose a third of your HP' moment.","quake (15 dmg, full room, avoidable by jumping/dodging)","Room-wide unavoidable... except by dodging at the right moment. 1.5s telegraph. When you see it charging, everyone has to dodge simultaneously or take 15 damage. Forces the entire group to react to one enemy's ability.","thorns (15% reflect) + death_explosion (25 dmg, r3)","Punishes melee with thorns while alive, then punishes proximity with explosion on death. The group has to choose: melee it (faster kill, but take reflect damage and risk the death explosion) or ranged it (slower, but safe from both thorns and explosion).",A walking disaster. Slow but relentless. Every step toward the group is a countdown to the next ground slam. The quake forces group-wide reactions. Thorns punish sloppy melee. Death explosion punishes celebrating the kill too early.,"Keep distance when possible. When it telegraphs ground slam, everyone scatters from the r3 zone. When it telegraphs quake, everyone dodges simultaneously. Ranged attacks avoid thorns entirely. When it's about to die, BACK AWAY — the death explosion catches anyone still in melee range. Call out 'it's dying, get clear' to the group."
Bone Golem,Undead,ELITE,Tank (Slow),"heavy_slam (40 dmg, knockback force 3, 1.2s telegraph)","The hardest single hit from any non-boss enemy. At Elite scaling, 40 damage is nearly half the player's HP. The knockback sends players flying, potentially into walls or hazards. 1.2s telegraph is readable but the 3-tile knockback makes positioning crucial.","sweep (270° arc r3, 25 dmg)","Same massive arc as the Giant Spider but on a tankier body. At 120 HP, the Bone Golem lives long enough to sweep multiple times. The group has to stay behind it, but the heavy slam from the front and sweep from the sides means only directly behind is safe.","split (on death: 2 copies at 30% HP, 60% size) + berserk (below 30%: +50% dmg)","The Bone Golem gets MORE dangerous as it dies. Below 30% it enrages. When it finally dies, it splits into two smaller Bone Golems (36 HP each) that also have heavy slam and sweep. A single Bone Golem encounter is actually three fights.","A relentless bone construct that hits like a truck, sweeps wide arcs, enrages when wounded, and splits into two when killed. This is the elite encounter that teaches the group about multi-phase fights and resource management.","Focus fire to burn through enrage phase fast. When it splits, the two smaller copies are individually manageable but appear when the group has already spent resources. Save some stamina and cooldowns for the split. The smaller copies are priority targets — don't let them set up while you're regrouping."
Void Touched,Shadow,ELITE,Ranged Caster,"void_beam (35 dmg, line w1 r15, 1.5s telegraph, 2s sustained)","A devastating beam that sweeps across the room for 2 seconds. The 1.5s telegraph is long enough to read, but the beam tracks slowly during the sustained phase — players have to keep moving laterally. Anyone caught in the line takes 35 damage per tick. Room-defining attack.","projectile_burst (3 projectiles, 30° spread) + homing_orb","Between beam attacks, the Void Touched peppers the group with projectile bursts and homing orbs. The orbs create persistent tracking threats while the group is trying to position for the next beam dodge. Constant pressure between the big moments.","adaptive_resistance (gains +10% resist per hit, max 50%) + teleport_when_hurt","The more you hit it with the same damage type, the more resistant it becomes. AND it teleports away when damaged. This elite demands varied attack types and coordinated burst during brief windows when it's not teleporting or immune.","The most complex non-boss enemy. Fires beams that sweep the room, peppers with projectiles between beams, adapts to your damage type, and teleports when pressured. Requires the group to coordinate damage types, positioning, and burst windows.","Spread out so the beam can't hit multiple players. Move laterally when the beam starts sweeping — don't run toward or away from it. Between beams, close distance and burst. Vary your attack types to avoid building its adaptive resistance. When it teleports, reposition for the next beam."
Magma Slime,Volcanic,TIER_3,Tank (Slow),"fire_breath (cone 60° r6, 25 dmg, lingering 3s)","Rethink the Slime as an area denial enemy rather than a slow tank. It belches fire in a cone that leaves lingering flames on the ground. At TIER_3 scaling (0.4x) the initial hit is ~10 dmg, but the lingering zone is the real threat — it blocks corridors and limits movement for 3 seconds.","death_explosion (25 dmg, r3)","When killed, the Slime pops and coats the area in lava. This is the Bomber concept from our earlier discussion. The Slime is slow and weak, but WHERE it dies matters. Kill it in a doorway and you've blocked your own escape route with lingering fire.","fire_aura (5 dmg/tick, 2 range, 1s interval)","Melee attackers take passive fire damage just being near it. Combined with the death explosion, the message is: don't melee this thing unless you have to. Use ranged attacks, or kill it from a position where the explosion won't block your path.","A slow-moving area denial blob. Breathes fire to create zones, hurts you for being near it, and explodes on death. Not threatening in a fight — threatening in what it does to the map. Every Slime death reshapes the room's navigable space.","Kill from range if possible. If melee is required, hit and retreat to avoid fire aura ticks. Before killing it, check your position — will the death explosion block the exit? Will lingering fire cut off a teammate? Position the kill deliberately."
Deep Crawler,Aquatic,TIER_2,Bruiser,"double_strike (2 hits × 15 dmg @ 300ms, 500ms telegraph)","Two quick hits in rapid succession. Total damage per cycle: 30 × 0.6 tier = 18. The double hit feels aggressive and pressuring — two impact sounds, two damage numbers, two knockback nudges. More visceral than a single hit for the same total damage.","grab_throw (30 dmg, grabs and throws distance 5)","The Crawler's signature: it grabs a player with its pincers and hurls them. 30 × 0.6 = 18 damage PLUS displacement. Being thrown 5 tiles can put you into hazards, into other enemies, or away from your group. Currently marked boss-only — recommend enabling for this enemy specifically.",armored (+10 armor),Tough shell reduces incoming physical damage. The Crawler is a bruiser that you have to commit time to kill. Its grab_throw buys it more time by disrupting the player attacking it. Heavy attacks or ranged bypass the armor most effectively.,"Walks up, double-strikes for pressure damage, then grabs and throws you when you're low. The throw disrupts your position and potentially isolates you. A simple but effective bruiser with one signature move that creates memorable moments ('it threw me into the Swarm!').","Dodge the grab — it has an 800ms telegraph and that's your window. The double strike is harder to dodge (500ms) but does less damage. If grabbed, call out your landing position to teammates. Don't let it throw you into a corner with no escape. Heavy attacks are efficient against its armor."
Frost Elemental,Ice,TIER_2,Ranged Caster,"frost_breath (cone 75° r5, 20 dmg, 50% slow 3s)","The slow is the real weapon. 50% reduced movement for 3 seconds means the slowed player can't dodge effectively, can't sprint away from threats, and is a sitting duck for other enemies. The Frost Elemental is a force multiplier — it makes every other enemy in the encounter more dangerous.","projectile_single (15 dmg, range 12)",Standard ranged poke between frost breaths. 2s cooldown keeps up consistent pressure. The projectile itself isn't scary — it's the threat of getting hit AND being slowed that makes the Frost Elemental a priority.,"frost_aura (30% slow, 3 range)",Players near the Frost Elemental are passively slowed by 30%. This stacks with frost breath for a devastating 80% slow. A melee player trying to kill the Frost Elemental is doing so at 70% movement speed (or 20% if breath-hit). Getting close to kill it is genuinely dangerous.,"Hangs back, slows the group with breath attacks, passively slows anyone who gets close. The perfect support enemy — not deadly on its own, but makes every other enemy in the room significantly more threatening.","Kill from range to avoid the frost aura slow. If you must melee it, burst it down fast — every second in its aura is a second at reduced speed. Prioritize it when it's paired with Chargers or Swarms, because the slow turns manageable enemies into deadly ones."
Ice Golem,Ice,TIER_2,Tank (Slow),"heavy_slam (40 dmg, knockback, 1.2s telegraph)","At 130 HP, this is your tankiest standard enemy. The heavy slam is its primary threat — 40 × 0.6 tier = 24 damage with knockback. The 1.2s telegraph is readable. The fight is long but predictable.","frost_breath (cone 75°, slow 50% 3s)","The Ice Golem's combo: slam to knock you back, then frost breath to slow you, then advance while you're slowed. If you're slowed AND it closes distance for another slam, you might not be fast enough to dodge. The breath is the setup, the slam is the payoff.",thorns (15% reflect) + undying (20% chance survive at 1 HP),"Thorns punish sustained melee. Undying means you think you've killed it and it's still standing — at 1 HP, enraged, one more slam away from killing someone. That moment of 'wait, it's still alive?!' is a panic spike.","The biggest, slowest, tankiest standard enemy in the game. Slams, freezes, reflects damage, and sometimes refuses to die. A war of attrition that demands patience and discipline.","Same as Stone Guardian: patience, dodge, punish, repeat. The frost breath adds urgency — if you get slowed, disengage immediately. Don't try to trade hits (thorns). When it drops to low HP, DON'T assume it's dead — the undying proc means it might get one more slam. Stay alert until it actually falls."
Ash Walker,Volcanic,TIER_2,Bruiser,— MERGE INTO FROZEN HUSK —,"The Ash Walker and Frozen Husk are functionally identical: melee bruiser, moderate stats, no distinguishing mechanic. Keep one, cut the other. The Frozen Husk's ice theme pairs better with frost_breath and slow mechanics.",,,,,These enemies occupy the same design space. A volcanic melee bruiser and an ice melee bruiser with nearly identical stat profiles don't create different gameplay experiences.,
Salamander,Volcanic,TIER_2,Balanced,— MERGE INTO DEEP CRAWLER —,The Salamander is described as 'balanced stats' with Tail Whip. The Deep Crawler fills the same bruiser role better with double_strike + grab_throw. 'Balanced' is not a combat identity — it means the enemy is mediocre at everything rather than interesting at something.,,,,,An enemy with no standout ability or behavior is invisible to the player. They fight it the same way they fight everything else. Cut it and spend the design budget on enemies with real identities.,
Skeletal Warrior,Undead,TIER_2,Melee Fighter,— MERGE INTO DEMON KNIGHT or FROZEN HUSK —,"Another generic melee fighter. 'Bone Slash, physical, blade' is the definition of a health-bar-clicker. Either give it a unique mechanic (call_for_help to summon reinforcements? split on death into bone fragments?) or merge it into an enemy that already has a combat identity.",,,call_for_help (potential rework),"IF keeping: give it call_for_help (alerts allies in 8 range on combat start). Now it has an identity — it's the alarm. Kill it before it calls, or prepare for reinforcements. That's a decision. Without this, it's generic.","As-is, there's no reason for this enemy to exist separately from any other melee enemy in the roster.",
Shield Bearer,Combat Variety,TIER_2,Tank (Shield),— MERGE INTO TEMPLE SENTINEL —,Two shield enemies with different stat profiles is redundant. The Temple Sentinel already fills the shield-tank role with heavy_slam + stomp + shield block. The Shield Bearer doesn't add a new behavior — it's just a weaker version of the same thing.,,,,,One shield enemy with strong mechanics is better than two shield enemies with diluted mechanics. Merge the Shield Bearer's stats into the Sentinel if needed.,
Frozen Husk,Ice,TIER_2,Melee Fighter,"lunge (18 dmg, dash, 400ms telegraph)","IF keeping (as the merged Ash Walker + Frozen Husk): give it lunge for gap-closing and frost_breath for area denial. It becomes a melee bruiser that slows on approach, making it harder to kite.",frost_breath (slow 50% 3s),"The slow gives it an identity: the melee enemy you can't easily run from. It lunges to close distance, breathes frost to slow you, then melees you while you're hampered. Different from the Demon Knight (charge + knockback) because the Frozen Husk traps you in close range rather than batting you away.",berserk (below 30%: +50% dmg),A berserk Frozen Husk that's already slowed you is dangerous — you can't run and it's hitting harder.,"IF keeping: a melee bruiser that closes distance with lunge, slows with frost breath, and berserks when wounded. Identity: the enemy that traps you in melee range.","Don't let it get close. If it lunges and frosts you, dodge away IMMEDIATELY before the slow fully sets in. Focus fire before berserk triggers. Kite it if possible — it's fast (lunge) but not persistent (no second gap closer during cooldown)."
Blizzard Spirit,Ice,TIER_2,Glass Cannon,— MERGE INTO CINDER WISP —,"The Blizzard Spirit is an ice-themed Cinder Wisp: fast glass cannon, ranged attacks, low HP. Functionally identical gameplay with a different element. Keep the Wisp (fire) and apply the same behavioral template with frost element if you want an ice variant.",,,,,Same combat experience as Cinder Wisp with ice skin. Doesn't add a new behavior or decision for the player.,
Shadow Imp,Combat Variety,TIER_2,Assassin,— EVALUATE vs FLAME BAT —,"The Shadow Imp (0.8s attack speed, fast slash) and the Flame Bat (fast bite + bleed) serve similar roles: fast, fragile, DPS-focused. The Flame Bat's bleed gives it more mechanical depth. If keeping the Shadow Imp, it needs a mechanic the Flame Bat doesn't have.",shadow_step (potential rework),"IF keeping: give it shadow_step (teleport to shadows, 200ms). Now it's a mini-Stalker that blinks around the room. Different from the Flame Bat (which is fast but visible) because the Imp teleports unpredictably. Short-range, fragile, but hard to pin down.",evasion (20% dodge),"IF keeping with shadow_step: evasion makes it a flickering, dodging nightmare that teleports between attacks. Identity: the enemy you can't track or reliably hit. Fragile if you connect.","IF keeping: shadow_step in ? quick slash ? shadow_step out. A flickering assassin. Otherwise, cut and let the Flame Bat own the 'fast fragile DPS' slot.","IF keeping: AoE attacks are the counter since you can't reliably target it. Bulwark skill blocks its shadow_step paths. Otherwise, the Flame Bat fills this niche with more interesting mechanics (bleed stacking)."
Flame Sprite,Combat Variety,TIER_2,Glass Cannon,— MERGE INTO CINDER WISP —,"Another fast glass cannon: 0.6s attacks, very fragile, fire element. The Cinder Wisp already owns this archetype with better mechanics (projectile burst, fire breath, teleport). Three glass cannons with slightly different attack speeds is not three different enemies.",,,,,The roster has too many glass cannons that feel the same. Consolidate into Cinder Wisp (ranged) and Flame Bat (melee) as the two glass cannon variants.,
